anchor,title,raw,calibrated,pack
06_echo_2010_14,?,0.482,0.7170645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2010_katy_perry__firework__album/2010_katy_perry__firework__album_20251111_231030.pack.json
06_echo_2010_14,?,0.373,0.6080645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2013_katy_perry__dark_horse__album/2013_katy_perry__dark_horse__album_20251111_232620.pack.json
06_echo_2010_14,?,0.444,0.6790645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_imagine_dragons__radioactive__album/2012_imagine_dragons__radioactive__album_20251111_232143.pack.json
06_echo_2010_14,?,0.5,0.7350645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2011_adele__rolling_in_the_deep__album/2011_adele__rolling_in_the_deep__album_20251111_231421.pack.json
06_echo_2010_14,?,0.431,0.6660645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_taylor_swift__style__album/2014_taylor_swift__style__album_20251111_233942.pack.json
06_echo_2010_14,?,0.455,0.6900645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2013_one_republic__counting_stars__album/2013_one_republic__counting_stars__album_20251111_232925.pack.json
06_echo_2010_14,?,0.287,0.5220645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2014_pharrell__happy__album/2014_pharrell__happy__album_20251111_233446.pack.json
06_echo_2010_14,?,0.299,0.5340645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2012_bruno_mars__locked_out_of_heaven__album/2012_bruno_mars__locked_out_of_heaven__album_20251111_231838.pack.json
06_echo_2010_14,?,0.538,0.7730645161290324,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2010_taio_cruz__dynamite__single/2010_taio_cruz__dynamite__single_20251111_231336.pack.json
06_echo_2010_14,?,0.376,0.6110645161290322,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2013_katy_perry__roar__album/2013_katy_perry__roar__album_20251111_232741.pack.json
06_echo_2010_14,?,0.555,0.7900645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2010_kesha__tik_tok__album/2010_kesha__tik_tok__album_20251111_231211.pack.json
06_echo_2010_14,?,0.482,0.7170645161290323,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/06_echo_2010_14/_packs/2025/11/11/2013_robin_thicke_pharrell_williams_ti__blurred_lines__album/2013_robin_thicke_pharrell_williams_ti__blurred_lines__album_20251111_233107.pack.json
04_echo_2000_04,?,0.532,0.7725714285714287,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2004_green_day__american_idiot__album/2004_green_day__american_idiot__album_20251111_224059.pack.json
04_echo_2000_04,?,0.3,0.5405714285714286,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2002_kelly_clarkson__a_moment_like_this__album/2002_kelly_clarkson__a_moment_like_this__album_20251111_223105.pack.json
04_echo_2000_04,?,0.514,0.7545714285714287,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2004_usher_lil_jon_ludacris__yeah__album/2004_usher_lil_jon_ludacris__yeah__album_20251111_224257.pack.json
04_echo_2000_04,?,0.469,0.7095714285714285,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2004_maroon_5__this_love__album/2004_maroon_5__this_love__album_20251111_224218.pack.json
