year,year_end_rank,artist,title,spotify_id,match_source,ext_artist_raw,ext_title_raw,tempo,danceability,energy,loudness,valence,duration_ms
1986,26,Heart,These Dreams,22wWxHGHRH8gZXNDXRgSqY,id,['Heart'],These Dreams,79.106,0.535,0.532,-9.865,0.3,254476
1986,27,Prince And The Revolution,Kiss,62LJFaYihsdVrrkgUOJC05,id,['Prince'],Kiss,111.485,0.898,0.271,-12.238,0.742,226240
1986,28,Robert Palmer,I Didn't Mean To Turn You On,4JF9MKFo5i85o5ap1JHKYE,id,['Robert Palmer'],I Didn't Mean To Turn You On,120.657,0.68,0.485,-15.589,0.967,224800
1986,29,Starship,Sara,0HzjKCZmFhwcO2vnnHpj9q,id,['Starship'],Sara,100.273,0.642,0.805,-5.675,0.365,292800
1986,30,INXS,What You Need,14tERgpNCOzUE1ztMR4CGe,id,['INXS'],What You Need - 45 Version,116.033,0.697,0.838,-6.156,0.444,215373
1986,31,Mr. Mister,Kyrie,5K3Q1gue9nWLLwh6bYQFoB,id,['Mr. Mister'],Kyrie,89.913,0.496,0.566,-13.749,0.672,265840
1986,32,The Bangles,Manic Monday,00vYs0qZA40Z8AAaN7xmMO,id,['The Bangles'],Manic Monday,121.761,0.685,0.594,-10.906,0.853,184160
1986,33,Janet Jackson,When I Think Of You,3mJ6pNcFM2CkykCYSREdKT,id,['Janet Jackson'],When I Think Of You,116.207,0.759,0.639,-11.386,0.706,235493
1986,34,Huey Lewis & The News,Stuck With You,2cFl7utlqyZjCXN1G5nRvA,id,['Huey Lewis & The News'],Stuck With You,120.717,0.704,0.544,-11.402,0.628,269573
1986,35,Orchestral Manoeuvres In The Dark,If You Leave,0Des4gyZ2Z9jq6VA8VPwGE,id,['Orchestral Manoeuvres In The Dark'],"If You Leave - From ""Pretty In Pink""",120.362,0.631,0.592,-13.808,0.896,265360
1986,36,Jermaine Stewart,We Don't Have To Take Our Clothes Off,6S7OQQ19MSi5Fo2PQ6LL1u,id,['Jermaine Stewart'],We Don't Have To Take Our Clothes Off,122.588,0.807,0.841,-4.0,0.911,245027
1986,37,Madonna,Live To Tell,095MMFhB9qxPx2VsmvjnUs,id,['Madonna'],Live to Tell,109.841,0.673,0.314,-14.156,0.27,353000
1986,38,Bananarama,Venus,4XX1pFUkQOZTYp6Hb6a6Ae,id,['Bananarama'],Venus,126.113,0.722,0.961,-4.812,0.91,229165
1986,39,The Jets,Crush On You,1ZszesnDwcH48WJGR03gO3,fuzzy,['The Jets'],Crush On You,120.332,0.777,0.834,-10.851,0.967,272493
1986,40,Lionel Richie,Dancing On The Ceiling,0snPJPxkk0MbTc0xeUvAPt,id,['Lionel Richie'],Dancing On The Ceiling,133.197,0.698,0.774,-8.642,0.731,270720
